iter	Passed	Remaining
0	4	4056
1	7	3737
2	9	3097
3	11	2765
4	12	2582
5	14	2449
6	20	2879
7	22	2768
8	24	2656
9	25	2564
10	27	2494
11	29	2435
12	31	2382
13	39	2765
14	41	2697
15	43	2669
16	45	2638
17	47	2586
18	49	2540
19	50	2493
20	52	2456
21	54	2412
22	55	2372
23	57	2337
24	63	2462
25	64	2426
26	66	2391
27	68	2367
28	70	2367
29	74	2400
30	79	2491
31	81	2463
32	84	2468
33	87	2479
34	89	2458
35	95	2556
36	97	2527
37	98	2501
38	100	2477
39	102	2458
40	104	2433
41	110	2518
42	116	2582
43	117	2557
44	119	2533
45	121	2511
46	129	2625
47	131	2602
48	132	2579
49	134	2557
50	136	2536
51	144	2640
52	146	2617
53	148	2596
54	149	2575
55	151	2555
56	156	2595
57	158	2575
58	160	2554
59	161	2535
60	163	2516
61	165	2509
62	167	2495
63	187	2744
64	189	2725
65	191	2712
66	197	2745
67	198	2726
68	203	2739
69	205	2726
70	206	2707
71	208	2688
72	210	2670
73	211	2652
74	223	2751
75	224	2734
76	226	2716
77	228	2703
78	230	2688
79	246	2839
80	252	2863
81	254	2845
82	254	2816
83	256	2797
84	258	2778
85	259	2760
86	262	2759
87	268	2782
88	270	2766
89	271	2749
90	273	2731
91	276	2729
92	278	2713
93	284	2737
94	285	2721
95	287	2705
96	289	2697
97	291	2683
98	293	2667
99	296	2672
100	298	2659
101	300	2644
102	302	2633
103	304	2619
104	305	2606
105	307	2592
106	313	2616
107	315	2603
108	316	2591
109	318	2578
110	320	2567
111	322	2555
112	328	2579
113	330	2570
114	332	2557
115	334	2546
116	335	2532
117	337	2520
118	338	2508
119	344	2525
120	346	2514
121	347	2499
122	348	2488
123	350	2476
124	352	2466
125	354	2456
126	368	2530
127	369	2520
128	376	2540
129	377	2529
130	379	2517
131	382	2518
132	384	2507
133	386	2496
134	392	2515
135	394	2504
136	395	2493
137	397	2483
138	399	2472
139	400	2463
140	407	2480
141	408	2466
142	409	2456
143	411	2446
144	413	2436
145	414	2426
146	416	2418
147	423	2435
148	424	2426
149	433	2457
150	437	2458
151	439	2449
152	440	2440
153	442	2431
154	444	2422
155	446	2414
156	461	2478
157	463	2469
158	465	2460
159	466	2450
160	467	2436
161	469	2427
162	471	2418
163	472	2409
164	479	2425
165	481	2416
166	482	2407
167	484	2398
168	486	2389
169	487	2381
170	493	2390
171	494	2382
172	496	2373
173	498	2365
174	499	2356
175	501	2347
176	531	2473
177	533	2464
178	535	2455
179	537	2447
180	541	2451
181	543	2443
182	559	2497
183	561	2489
184	562	2480
185	564	2471
186	566	2462
187	572	2470
188	573	2462
189	575	2453
190	577	2444
191	578	2436
192	580	2428
193	582	2419
194	588	2430
195	590	2422
196	592	2414
197	593	2405
198	595	2398
199	597	2390
200	603	2398
201	605	2390
202	606	2383
203	608	2375
204	610	2367
205	612	2359
206	613	2351
207	619	2357
208	620	2349
209	622	2341
210	629	2354
211	636	2365
212	638	2358
213	640	2350
214	644	2353
215	649	2358
216	652	2353
217	653	2345
218	655	2337
219	657	2330
220	658	2322
221	660	2315
222	666	2321
223	668	2314
224	669	2306
225	671	2299
226	673	2292
227	675	2285
228	679	2287
229	686	2297
230	688	2290
231	689	2283
232	691	2276
233	696	2281
234	699	2276
235	701	2269
236	702	2262
237	704	2255
238	706	2248
239	711	2253
240	713	2246
241	714	2239
242	716	2232
243	718	2225
244	720	2218
245	721	2212
246	729	2222
247	730	2216
248	732	2209
249	734	2203
250	736	2196
251	737	2190
252	744	2196
253	745	2190
254	747	2183
255	749	2177
256	750	2171
257	752	2164
258	755	2162
259	757	2156
260	759	2150
261	761	2143
262	763	2140
263	766	2136
264	769	2133
265	774	2137
266	776	2131
267	778	2125
268	779	2119
269	781	2113
270	792	2131
271	794	2125
272	796	2119
273	797	2113
274	801	2114
275	806	2115
276	808	2108
277	809	2103
278	811	2098
279	813	2092
280	823	2106
281	824	2100
282	826	2094
283	828	2088
284	840	2108
285	842	2102
286	844	2097
287	848	2097
288	850	2091
289	852	2086
290	853	2079
291	855	2074
292	859	2074
293	863	2072
294	868	2076
295	870	2070
296	872	2064
297	874	2058
298	875	2053
299	880	2055
300	883	2051
301	885	2045
302	886	2040
303	888	2034
304	890	2029
305	896	2032
306	897	2026
307	899	2021
308	901	2015
309	903	2010
310	971	2153
311	973	2146
312	979	2150
313	981	2144
314	983	2138
315	985	2132
316	987	2126
317	988	2120
318	994	2122
319	995	2116
320	997	2110
321	999	2103
322	1000	2098
323	1004	2095
324	1010	2099
325	1013	2095
326	1044	2148
327	1045	2142
328	1047	2136
329	1050	2132
330	1052	2126
331	1060	2133
332	1062	2127
333	1064	2121
334	1065	2115
335	1067	2109
336	1076	2118
337	1078	2111
338	1080	2106
339	1082	2100
340	1083	2094
341	1087	2091
342	1091	2090
343	1093	2084
344	1094	2078
345	1096	2072
346	1098	2066
347	1100	2060
348	1102	2057
349	1106	2054
350	1108	2049
351	1109	2043
352	1112	2039
353	1114	2032
354	1118	2032
355	1130	2044
356	1132	2039
357	1133	2033
358	1140	2037
359	1142	2031
360	1144	2026
361	1146	2020
362	1148	2014
363	1150	2009
364	1155	2010
365	1157	2005
366	1159	1999
367	1161	1994
368	1162	1988
369	1164	1982
370	1166	1977
371	1172	1978
372	1173	1973
373	1175	1967
374	1177	1962
375	1178	1956
376	1180	1951
377	1200	1975
378	1202	1970
379	1204	1964
380	1206	1959
381	1207	1954
382	1209	1948
383	1211	1942
384	1213	1937
385	1215	1933
386	1217	1927
387	1218	1922
388	1221	1918
389	1223	1913
390	1228	1913
391	1234	1915
392	1236	1909
393	1238	1904
394	1239	1899
395	1241	1893
396	1243	1888
397	1248	1889
398	1250	1883
399	1252	1878
400	1254	1873
401	1255	1867
402	1257	1863
403	1259	1857
404	1266	1860
405	1267	1855
406	1270	1851
407	1272	1846
408	1274	1841
409	1289	1856
410	1291	1851
411	1298	1852
412	1299	1847
413	1301	1842
414	1303	1837
415	1305	1832
416	1306	1827
417	1313	1828
418	1314	1823
419	1316	1818
420	1318	1813
421	1320	1808
422	1322	1804
