iter	Passed	Remaining
0	154	153952
1	155	77710
2	163	54396
3	165	41238
4	167	33269
5	168	27944
6	171	24273
7	178	22091
8	179	19817
9	181	17991
10	183	16479
11	184	15205
12	185	14114
13	187	13195
14	192	12611
15	193	11928
16	195	11304
17	197	10764
18	198	10264
19	200	9806
20	204	9535
21	207	9228
22	208	8876
23	210	8550
24	211	8252
25	212	7977
26	214	7722
27	215	7490
28	219	7365
29	223	7213
30	224	7029
31	226	6853
32	228	6702
33	230	6541
34	235	6483
35	236	6334
36	237	6193
37	239	6062
38	240	5937
39	242	5815
40	245	5734
41	246	5631
42	248	5524
43	249	5425
44	251	5329
45	253	5248
46	254	5163
47	259	5139
48	262	5086
49	263	5010
50	265	4932
51	266	4857
52	267	4786
53	269	4718
54	270	4650
55	274	4635
56	276	4578
57	278	4517
58	279	4458
59	280	4399
60	282	4344
61	283	4291
62	289	4310
63	291	4262
64	295	4256
65	298	4218
66	299	4173
67	309	4245
68	314	4250
69	322	4278
70	328	4298
71	329	4251
72	331	4212
73	337	4218
74	338	4176
75	340	4138
76	343	4119
77	346	4093
78	350	4085
79	351	4046
80	353	4007
81	354	3970
82	355	3928
83	357	3895
84	358	3859
85	360	3829
86	361	3795
87	366	3798
88	368	3768
89	369	3739
90	372	3718
91	374	3699
92	376	3669
93	378	3651
94	380	3627
95	382	3600
96	383	3571
97	384	3542
98	386	3516
99	387	3488
100	388	3461
101	389	3433
102	391	3406
103	394	3396
104	395	3370
105	396	3345
106	397	3319
107	398	3295
108	400	3270
109	401	3246
110	402	3222
111	403	3199
112	404	3176
113	405	3154
114	408	3145
115	410	3124
116	410	3101
117	412	3080
118	413	3060
119	414	3039
120	415	3019
121	416	2998
122	417	2978
123	418	2959
124	420	2942
125	421	2923
126	424	2914
127	425	2896
128	426	2879
129	427	2861
130	428	2844
131	429	2827
132	431	2810
133	432	2793
134	433	2779
135	436	2771
136	438	2763
137	439	2748
138	441	2732
139	442	2716
140	443	2701
141	444	2684
142	445	2669
143	446	2655
144	447	2641
145	449	2630
146	451	2617
147	452	2604
148	453	2591
149	455	2578
150	456	2566
151	458	2555
152	459	2543
153	460	2529
154	461	2516
155	462	2504
156	464	2491
157	467	2488
158	468	2478
159	470	2467
160	470	2453
161	472	2443
162	473	2433
163	475	2422
164	476	2410
165	477	2399
166	478	2387
167	481	2384
168	482	2373
169	483	2362
170	485	2351
171	486	2343
172	488	2336
173	490	2328
174	492	2321
175	493	2311
176	496	2308
177	497	2298
178	498	2287
179	500	2277
180	501	2267
181	502	2258
182	503	2248
183	504	2238
184	505	2228
185	506	2218
186	508	2208
187	511	2207
188	512	2198
189	513	2189
190	514	2180
191	515	2171
192	517	2162
193	518	2153
194	519	2144
195	520	2135
196	521	2126
197	522	2118
198	524	2111
199	526	2104
200	527	2097
201	528	2088
202	529	2080
203	531	2072
204	532	2063
205	533	2055
206	534	2047
207	535	2039
208	536	2031
209	538	2024
210	541	2025
211	544	2022
212	545	2015
213	546	2007
214	547	2000
215	549	1992
216	550	1985
217	551	1977
218	552	1969
219	555	1971
220	557	1964
221	558	1958
222	560	1951
223	561	1945
224	562	1938
225	564	1931
226	566	1929
227	567	1923
228	571	1922
229	574	1922
230	575	1915
231	576	1909
232	578	1903
233	579	1896
234	580	1890
235	582	1887
236	588	1894
237	590	1889
238	591	1883
239	593	1878
240	594	1871
241	595	1865
242	596	1859
243	600	1859
244	602	1857
245	603	1850
246	604	1844
247	606	1837
248	607	1831
249	608	1824
250	609	1819
251	611	1813
252	612	1808
253	617	1812
254	618	1806
255	619	1800
256	620	1794
257	621	1788
258	622	1782
259	624	1776
260	625	1771
261	626	1765
262	628	1760
263	631	1761
264	632	1755
265	634	1749
266	635	1744
267	636	1738
268	637	1732
269	639	1727
270	640	1722
271	641	1716
272	643	1712
273	645	1711
274	647	1705
275	648	1701
276	649	1696
